CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,TWI,TPI,Slope,planCurv,proCurv,NDVI,VH,VV,Wet,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotOC,TotN,d13C,d15N,MTOC,POC,HOC,ROC,DOC,DTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b,DON,MBC,MBN,MicY,CN,MicCN,Vuln,BD0_30,bdm
FCNSW_001_2019-03-26_T0_P1,FCNSW_001,FC NSW 1001,2019-03-26,0,1,144.425419,-35.73389,80.57,4.41,0.300003,6.71210527,-0.004798889,1.554801583,0.826143622,0.00289604,0.22334455,-20.61222839,-14.67632008,0.455464363,n,0,30,"Few mature RRG, many samplings, some copiced; distrurbed area; 95% litter cover, grey vertosol",2829,3830,1.109,0.109,17,25,58,31,28,42,Clay,6.31,5.3,0.1482,27.810000000000002,7.79813,2492.6,1600.6200000000001,442.90000000000003,506.76,44702,0,10.3,2193.9,0,21.63,45.32,21.63,38625,5067.6,4243.6,796.19,0,594.3100000000001,27.810000000000002,201.88,21.63,124.63000000000001,0,0,60.77,n,0.031,1.03,11.360899999999999,1.1124,-31.86,3.64,16.3211499289,2.61724684256,8.35085760735,3.61503648583,128.38,23.32,6.594,5.871,1.687,30.3335,6.5817,0.1327,0.001,28.851,72.512,10.854999999999997,772.1777777777778,47.17999999999999,0.7153695135305782,10.212962962962962,16.366633696010553,0.21872555633362228,1.2062672322375398,0.109
FCNSW_002_2019-03-26_T0_P2,FCNSW_002,FC NSW 1002,2019-03-26,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,7.05519724,0.040008545,0.70707798,0.471404523,0.009998843,0.233193278,-21.22720528,-14.93515873,0.438273758,n,0,30,"Sparse mature and juvenile RRG, coverage 10%; disturbed area; 50% litter cover",2829,3700,1.069,0.069,35,26,39,43,29,28,Silty clay loam,5.85,4.61,0.076,17.34,12.68268,1260.72,862.92,226.44,295.8,31008,0,0,1244.4,0,13.26,37.74,17.34,29274,4131,2713.2000000000003,810.9,0,267.24,20.4,294.78000000000003,18.36,134.64000000000001,0,0,52.02,n,0.02,1.02,18.5844,1.2342,-29.14,5.05,15.4480458804,2.39552279316,8.478243280320001,3.5360932273200003,117.2,22.3,11.121,6.281,1.364,14.9328,4.71648,0.1116,9e-4,29.344,71.3591,4.8980000000000015,224.26666666666665,20.82,0.7086087717259945,15.057851239669422,10.771693884085813,0.19938868797595857,1.2176387416048073,0.069
FCNSW_003_2019-03-26_T0_P3,FCNSW_003,FC NSW 1003,2019-03-26,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,5.73089361,0.0625,2.748800039,-0.128364027,0.005745502,0.2588076,-19.21430779,-12.32167244,0.494540811,n,0,30,"Mature RRG, some juveniles, juncus, 90% litter",2829,3340,1.085,0.085,25,31,43,36,35,29,Silty clay,6.06,4.86,0.0908,20.4,10.870140000000001,1458.6000000000001,971.04,269.28000000000003,385.56,34986,0,0,1611.6000000000001,0,21.42,39.78,20.4,35190,4967.4,3406.8,1448.4,0,359.04,24.48,300.9,19.38,123.42,0,0,57.120000000000005,n,0.023,1.02,15.024600000000001,1.1627999999999998,-23.55,3.95,17.7272061372,2.53455658698,8.97823996386,4.78810521192,94.16,24.93,12.825,8.751,1.52,24.5514,5.41212,0.0963,9e-4,32.725,68.435,3.3540000000000028,337.84444444444443,16.099999999999994,0.6765025701858443,12.921052631578949,20.98412698412699,0.18411252620914992,1.0802757158006362,0.085
FCNSW_004_2019-03-26_T0_P4,FCNSW_004,FC NSW 1004,2019-03-26,0,4,144.425377,-35.735393,80.269997,4.10999,0,6.21222591,0.040000916,1.699662209,-0.755148768,-4.96749e-4,0.26001513,-18.35289383,-12.24174213,0.518620133,n,0,30,"Young RRG ~5m height, 5% juncus, 10% canopy, 90% litter",2829,3240,1.037,0.037,63,21,16,63,24,14,Loam,5.44,4.43,0.0644,9.09,14.08849,743.36,413.09000000000003,115.14,165.64000000000001,14443,0,0,707,0,0,20.2,0,12524,2383.6,1403.9,181.8,0,106.05,0,189.88,10.1,125.24,0,0,27.27,n,0.011,1.01,19.3112,1.1514,-30.91,3.39,15.8175345429,3.58745928082,7.62927986642,3.3001759655600003,76.87,13.09,4.945,2.875,0.988,19.796000000000003,4.37431,0.0991,9e-4,31.642,69.3009,5.27,260.1555555555555,7.920000000000002,0.6865356553061186,16.771929824561404,32.847923681257,0.32823768502023304,1.1029056203605514,0.037
FCNSW_005_2019-03-26_T1_P1,FCNSW_005,FC NSW 1011,2019-03-26,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,5.40099144,0.101257324,0.687176883,1.027360559,0.01627399,0.338012546,-19.12982559,-12.73651791,0.496902347,n,0,30,"Mature grey box, 30% canopy; 5% bluebush; 2% moss; 60% litter",2829,3560,1.065,0.065,58,24,18,54,26,20,Loam,8.34,7.35,0.2252,19.38,41.50584,2160.36,848.64,180.54,569.16,29580,0,18.36,14790,0,11.22,30.6,24.48,25194,6732,5977.2,1468.8,0,333.54,25.5,1050.6,13.26,174.42000000000002,0,0,69.36,y,0.02,1.02,19.0638,1.53,-25.25,5.12,25.6270637052,4.45632715278,14.2359312468,7.60837983942,205.78,28.25,14.201,2.058,0.659,27.9174,5.0724599999999995,0.1137,0.0014,26.323,73.2772,11.991,343.8,20.840000000000003,0.7357133821016423,12.46,16.49712092130518,0.2040040143720154,1.176599505125486,0.065
FCNSW_006_2019-03-26_T1_P2,FCNSW_006,FC NSW 1012,2019-03-26,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,5.79950857,-0.011253357,2.007002115,0.251950651,0.002717752,0.243641719,-18.76263237,-13.29092598,0.507166624,n,0,30,"Mature RRG, 10% cover; 1% small saplings; 75% litter cover",2829,3790,1.102,0.102,29,22,49,36,29,35,Clay,5.99,4.93,0.1188,23.46,8.848500000000001,1764.6000000000001,1400.46,352.92,524.28,38658,0,0,1621.8,0,20.4,41.82,20.4,33150,5038.8,3651.6,1203.6,0,424.32,26.52,223.38,22.44,123.42,0,0,60.18,n,0.023,1.02,19.2372,1.1322,-26.45,3.91,15.3725493054,2.7386603883,8.30568973548,3.07034115984,84.18,20.12,12.21,4.961,0.933,14.310599999999999,3.98208,0.1165,8e-4,31.704,69.5859,2.949,329.91111111111104,15,0.6869974202758616,16.99099099099099,21.99407407407407,0.2407395350364828,1.2030470130788264,0.102
FCNSW_007_2019-03-26_T1_P3,FCNSW_007,FC NSW 1013,2019-03-26,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,5.52647734,-0.041252136,4.844833851,0.027444854,-0.002432437,0.231274635,-18.93504143,-13.30503273,0.502347231,m,0,30,"Mature RRG, 10% cover; Juvenile RRG 1%; Juncus 1%; Chenopod 1%; Litter 60%",2829,3840,1.087,0.087,39,24,38,43,27,30,Clay loam,5.6,4.61,0.1086,20.4,11.22714,1487.16,987.36,224.4,344.76,28356,0,0,1846.2,0,12.24,33.660000000000004,16.32,25908,3845.4,2346,563.04,0,282.54,17.34,251.94,18.36,186.66,0,0,47.94,n,0.019,1.02,24.0822,1.2036,-27.48,2.8,25.238597092800003,4.32508453614,11.8546038018,6.18580240932,103.44,23.41,17.278,4.789,1.128,23.511000000000003,4.5328800000000005,0.0978,9e-4,31.431,69.4849,1.3430000000000035,234.4888888888889,11.18,0.6885426379787526,20.008474576271187,20.97396143907772,0.23974429874389655,1.2392788971367974,0.087
FCNSW_008_2019-03-26_T1_P4,FCNSW_008,FC NSW 1014,2019-03-26,1,4,144.417776,-35.745531,79.559998,3.39999,0,5.54051876,-0.140914917,2.687362432,-0.272436529,-0.017103843,0.255311728,-18.23065758,-13.34630299,0.522037029,y,0,30,"Mature RRG <10%; Juncus 5%, lots of dead wood; 50% litter",2829,3740,1.048,0.048,55,23,23,58,23,19,Loam,5.72,4.72,0.0747,9.999,13.48047,888.8,516.11,137.36,206.04,16059,0,0,854.46,0,0,22.22,0,12827,2575.5,1454.4,213.11,0,145.44,10.1,169.68,12.120000000000001,114.13,0,0,30.3,n,0.012,1.01,11.998800000000001,1.1009,-27.63,3.3,15.123907104499999,3.3886474458099998,6.98578922091,3.11859062591,62.18,16.83,13.413,3.622,0.779,14.1198,3.83295,0.115,9e-4,29.53,71.1897,0,245.28888888888886,8.860000000000007,0.7068100877981169,10.899082568807339,27.6849761725608,0.33536421801051536,1.2585648639095086,0.048
FCNSW_009_2019-03-27_T2_P1,FCNSW_009,FC NSW 1021,2019-03-27,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,7.23809719,0.17250061,1.16666162,0.571407795,-0.003333365,0.250952989,-18.94776344,-13.32353306,0.50199157,n,0,30,"Recently thinned RRG, some coppiced, some dead RRG ~20m, RRG cover ~15%; litter 40%",2829,3430,1.123,0.123,17,26,57,28,31,42,Silty clay,5.26,4.2,0.1498,25.75,10.84693,1522.3400000000001,1371.96,344.02,354.32,45732,0,0,1380.2,0,14.42,51.5,18.54,41715,4099.4000000000005,3059.1,625.21,0,428.48,25.75,225.57,20.6,182.31,0,0,56.65,n,0.031,1.03,11.556600000000001,1.1536000000000002,-26.43,3.82,19.9889954922,3.45123793732,10.2511379742,4.093408607420001,114.26,15.43,5.025,3.894,0.991,14.6878,4.39913,0.0786,7e-4,32.314,68.7586,6.510999999999999,238.0666666666666,9.060000000000002,0.6802892178493479,10.017857142857142,26.276674025018384,0.24059581930196045,1.063312124425592,0.123
FCNSW_010_2019-03-27_T2_P2,FCNSW_010,FC NSW 1022,2019-03-27,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,5.86268425,0.058128357,1.740020871,-0.196182489,-0.002138764,0.244531512,-18.92961693,-13.51634502,0.502498865,n,0,30,"Very disturbed site, RRG 5% coppiced / thinned, few chenopods",2829,4030,1.11,0.11,16,40,44,25,35,41,Silty clay,5.04,3.88,0.0581,20.6,11.826459999999999,824,891.98,189.52,238.96,27707,0,0,744.69,0,17.51,40.17,15.450000000000001,35329,2873.7000000000003,2060,1143.3,0,173.04,18.54,369.77,21.63,130.81,0,0,53.56,n,0.025,1.03,13.225200000000001,1.3081,-21.36,3.01,20.2970417328,2.68758543647,9.83209243533,4.9098220579600005,77.18,13.69,6.436,2.926,0.777,20.291,4.69268,0.0732,6e-4,33.834,67.32,4.327999999999999,239.88888888888886,7.800000000000001,0.6655199003499614,10.11023622047244,30.754985754985746,0.1823091185132904,1.2678331565924357,0.11
