CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,TWI,TPI,Slope,planCurv,proCurv,NDVI,VH,VV,Wet,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotOC,TotN,d13C,d15N,MTOC,POC,HOC,ROC,DOC,DTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b,DON,MBC,MBN,MicY,CN,MicCN,Vuln,BD0_30,bdm,TotalPLFA,Bac,Fun,Gpos,Gneg,Act,F_B,Gp_Gn,Act_Gp
FCNSW_001_2019-03-26_T0_P1,FCNSW_001,FC NSW 1001,26/3/19,0,1,144.425419,-35.73389,80.57,4.41,0.300003,6.71210527,-0.004798889,1.554801583,0.826143622,0.00289604,0.22334455,-20.61222839,-14.67632008,0.455464363,n,0,30,"Few mature RRG, many samplings, some copiced; distrurbed area; 95% litter cover, grey vertosol",2829,3830,1.109,0.109,17,25,58,31,28,42,Clay,6.31,5.3,0.1482,27.81,7.79813,2492.6,1600.62,442.9,506.76,44702,0,10.3,2193.9,0,21.63,45.32,21.63,38625,5067.6,4243.6,796.19,0,594.31,27.81,201.88,21.63,124.63,0,0,60.77,n,0.031,1.03,11.3609,1.1124,-31.86,3.64,16.32114993,2.617246843,8.350857607,3.615036486,128.38,23.32,6.594,5.871,1.687,30.3335,6.5817,0.1327,0.001,28.851,72.512,10.855,772.1777778,47.18,0.715369514,10.21296296,16.3666337,0.218725556,1.206267232,0.109,1305.626567,889.7313855,133.6905676,394.0272517,153.6087651,30.07588311,0.150259471,394.2230471,0.076329449
FCNSW_002_2019-03-26_T0_P2,FCNSW_002,FC NSW 1002,26/3/19,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,7.05519724,0.040008545,0.70707798,0.471404523,0.009998843,0.233193278,-21.22720528,-14.93515873,0.438273758,n,0,30,"Sparse mature and juvenile RRG, coverage 10%; disturbed area; 50% litter cover",2829,3700,1.069,0.069,35,26,39,43,29,28,Silty clay loam,5.85,4.61,0.076,17.34,12.68268,1260.72,862.92,226.44,295.8,31008,0,0,1244.4,0,13.26,37.74,17.34,29274,4131,2713.2,810.9,0,267.24,20.4,294.78,18.36,134.64,0,0,52.02,n,0.02,1.02,18.5844,1.2342,-29.14,5.05,15.44804588,2.395522793,8.47824328,3.536093227,117.2,22.3,11.121,6.281,1.364,14.9328,4.71648,0.1116,9.00E-04,29.344,71.3591,4.898,224.2666667,20.82,0.708608772,15.05785124,10.77169388,0.199388688,1.217638742,0.069,1226.392134,816.7681078,127.272451,361.439123,145.0638112,34.87782494,0.155824462,361.6795539,0.096497094
FCNSW_003_2019-03-26_T0_P3,FCNSW_003,FC NSW 1003,26/3/19,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,5.73089361,0.0625,2.748800039,-0.128364027,0.005745502,0.2588076,-19.21430779,-12.32167244,0.494540811,n,0,30,"Mature RRG, some juveniles, juncus, 90% litter",2829,3340,1.085,0.085,25,31,43,36,35,29,Silty clay,6.06,4.86,0.0908,20.4,10.87014,1458.6,971.04,269.28,385.56,34986,0,0,1611.6,0,21.42,39.78,20.4,35190,4967.4,3406.8,1448.4,0,359.04,24.48,300.9,19.38,123.42,0,0,57.12,n,0.023,1.02,15.0246,1.1628,-23.55,3.95,17.72720614,2.534556587,8.978239964,4.788105212,94.16,24.93,12.825,8.751,1.52,24.5514,5.41212,0.0963,9.00E-04,32.725,68.435,3.354,337.8444444,16.1,0.67650257,12.92105263,20.98412698,0.184112526,1.080275716,0.085,1221.885759,720.262772,119.4172469,309.5479994,132.9017523,36.76891039,0.165796778,309.8246617,0.118782581
FCNSW_004_2019-03-26_T0_P4,FCNSW_004,FC NSW 1004,26/3/19,0,4,144.425377,-35.735393,80.269997,4.10999,0,6.21222591,0.040000916,1.699662209,-0.755148768,-4.97E-04,0.26001513,-18.35289383,-12.24174213,0.518620133,n,0,30,"Young RRG ~5m height, 5% juncus, 10% canopy, 90% litter",2829,3240,1.037,0.037,63,21,16,63,24,14,Loam,5.44,4.43,0.0644,9.09,14.08849,743.36,413.09,115.14,165.64,14443,0,0,707,0,0,20.2,0,12524,2383.6,1403.9,181.8,0,106.05,0,189.88,10.1,125.24,0,0,27.27,n,0.011,1.01,19.3112,1.1514,-30.91,3.39,15.81753454,3.587459281,7.629279866,3.300175966,76.87,13.09,4.945,2.875,0.988,19.796,4.37431,0.0991,9.00E-04,31.642,69.3009,5.27,260.1555556,7.92,0.686535655,16.77192982,32.84792368,0.328237685,1.10290562,0.037,1217.813065,756.3198846,125.3301732,325.2541833,150.1216759,41.22181635,0.165710536,325.5287727,0.126737236
FCNSW_005_2019-03-26_T1_P1,FCNSW_005,FC NSW 1011,26/3/19,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,5.40099144,0.101257324,0.687176883,1.027360559,0.01627399,0.338012546,-19.12982559,-12.73651791,0.496902347,n,0,30,"Mature grey box, 30% canopy; 5% bluebush; 2% moss; 60% litter",2829,3560,1.065,0.065,58,24,18,54,26,20,Loam,8.34,7.35,0.2252,19.38,41.50584,2160.36,848.64,180.54,569.16,29580,0,18.36,14790,0,11.22,30.6,24.48,25194,6732,5977.2,1468.8,0,333.54,25.5,1050.6,13.26,174.42,0,0,69.36,y,0.02,1.02,19.0638,1.53,-25.25,5.12,25.62706371,4.456327153,14.23593125,7.608379839,205.78,28.25,14.201,2.058,0.659,27.9174,5.07246,0.1137,0.0014,26.323,73.2772,11.991,343.8,20.84,0.735713382,12.46,16.49712092,0.204004014,1.176599505,0.065,1332.312939,698.6653338,124.9294271,227.1115476,189.4106701,15.30434775,0.178811544,227.1923474,0.06738692
FCNSW_006_2019-03-26_T1_P2,FCNSW_006,FC NSW 1012,26/3/19,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,5.79950857,-0.011253357,2.007002115,0.251950651,0.002717752,0.243641719,-18.76263237,-13.29092598,0.507166624,n,0,30,"Mature RRG, 10% cover; 1% small saplings; 75% litter cover",2829,3790,1.102,0.102,29,22,49,36,29,35,Clay,5.99,4.93,0.1188,23.46,8.8485,1764.6,1400.46,352.92,524.28,38658,0,0,1621.8,0,20.4,41.82,20.4,33150,5038.8,3651.6,1203.6,0,424.32,26.52,223.38,22.44,123.42,0,0,60.18,n,0.023,1.02,19.2372,1.1322,-26.45,3.91,15.37254931,2.738660388,8.305689735,3.07034116,84.18,20.12,12.21,4.961,0.933,14.3106,3.98208,0.1165,8.00E-04,31.704,69.5859,2.949,329.9111111,15,0.68699742,16.99099099,21.99407407,0.240739535,1.203047013,0.102,1373.784496,821.3708374,122.338993,368.7286644,140.2896473,51.71704883,0.148944895,369.0973092,0.140257739
FCNSW_007_2019-03-26_T1_P3,FCNSW_007,FC NSW 1013,26/3/19,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,5.52647734,-0.041252136,4.844833851,0.027444854,-0.002432437,0.231274635,-18.93504143,-13.30503273,0.502347231,m,0,30,"Mature RRG, 10% cover; Juvenile RRG 1%; Juncus 1%; Chenopod 1%; Litter 60%",2829,3840,1.087,0.087,39,24,38,43,27,30,Clay loam,5.6,4.61,0.1086,20.4,11.22714,1487.16,987.36,224.4,344.76,28356,0,0,1846.2,0,12.24,33.66,16.32,25908,3845.4,2346,563.04,0,282.54,17.34,251.94,18.36,186.66,0,0,47.94,n,0.019,1.02,24.0822,1.2036,-27.48,2.8,25.23859709,4.325084536,11.8546038,6.185802409,103.44,23.41,17.278,4.789,1.128,23.511,4.53288,0.0978,9.00E-04,31.431,69.4849,1.343,234.4888889,11.18,0.688542638,20.00847458,20.97396144,0.239744299,1.239278897,0.087,1333.305467,815.3109203,105.3169586,367.8101878,139.0667654,48.37393026,0.129173983,368.1580346,0.131518734
FCNSW_008_2019-03-26_T1_P4,FCNSW_008,FC NSW 1014,26/3/19,1,4,144.417776,-35.745531,79.559998,3.39999,0,5.54051876,-0.140914917,2.687362432,-0.272436529,-0.017103843,0.255311728,-18.23065758,-13.34630299,0.522037029,y,0,30,"Mature RRG <10%; Juncus 5%, lots of dead wood; 50% litter",2829,3740,1.048,0.048,55,23,23,58,23,19,Loam,5.72,4.72,0.0747,9.999,13.48047,888.8,516.11,137.36,206.04,16059,0,0,854.46,0,0,22.22,0,12827,2575.5,1454.4,213.11,0,145.44,10.1,169.68,12.12,114.13,0,0,30.3,n,0.012,1.01,11.9988,1.1009,-27.63,3.3,15.1239071,3.388647446,6.985789221,3.118590626,62.18,16.83,13.413,3.622,0.779,14.1198,3.83295,0.115,9.00E-04,29.53,71.1897,0,245.2888889,8.86,0.706810088,10.89908257,27.68497617,0.335364218,1.258564864,0.048,1273.734635,766.3041223,97.21741596,339.1223515,134.2198678,37.39107436,0.126865318,339.4009323,0.11025836
FCNSW_009_2019-03-27_T2_P1,FCNSW_009,FC NSW 1021,27/3/19,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,7.23809719,0.17250061,1.16666162,0.571407795,-0.003333365,0.250952989,-18.94776344,-13.32353306,0.50199157,n,0,30,"Recently thinned RRG, some coppiced, some dead RRG ~20m, RRG cover ~15%; litter 40%",2829,3430,1.123,0.123,17,26,57,28,31,42,Silty clay,5.26,4.2,0.1498,25.75,10.84693,1522.34,1371.96,344.02,354.32,45732,0,0,1380.2,0,14.42,51.5,18.54,41715,4099.4,3059.1,625.21,0,428.48,25.75,225.57,20.6,182.31,0,0,56.65,n,0.031,1.03,11.5566,1.1536,-26.43,3.82,19.98899549,3.451237937,10.25113797,4.093408607,114.26,15.43,5.025,3.894,0.991,14.6878,4.39913,0.0786,7.00E-04,32.314,68.7586,6.511,238.0666667,9.06,0.680289218,10.01785714,26.27667403,0.240595819,1.063312124,0.123,1157.0987,692.7000424,110.2460139,294.9468444,129.743281,35.75412875,0.159154045,295.2224203,0.121222279
FCNSW_010_2019-03-27_T2_P2,FCNSW_010,FC NSW 1022,27/3/19,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,5.86268425,0.058128357,1.740020871,-0.196182489,-0.002138764,0.244531512,-18.92961693,-13.51634502,0.502498865,n,0,30,"Very disturbed site, RRG 5% coppiced / thinned, few chenopods",2829,4030,1.11,0.11,16,40,44,25,35,41,Silty clay,5.04,3.88,0.0581,20.6,11.82646,824,891.98,189.52,238.96,27707,0,0,744.69,0,17.51,40.17,15.45,35329,2873.7,2060,1143.3,0,173.04,18.54,369.77,21.63,130.81,0,0,53.56,n,0.025,1.03,13.2252,1.3081,-21.36,3.01,20.29704173,2.687585436,9.832092435,4.909822058,77.18,13.69,6.436,2.926,0.777,20.291,4.69268,0.0732,6.00E-04,33.834,67.32,4.328,239.8888889,7.8,0.6655199,10.11023622,30.75498575,0.182309119,1.267833157,0.11,1085.580024,612.4341973,87.3170789,270.4385922,107.8886643,30.60749673,0.142573813,270.7222874,0.113177252
