Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0,0,0,0,0,0,23,106,407,145,16,1
1896,0,0,0,0,1,0,81,9,38,52,3,0
1897,1,0,0,0,0,0,8,30,348,133,27,0
1898,0,0,0,0,0,27,15,171,216,60,58,19
1899,0,0,0,0,0,101,374,118,9,5,3,0
1900,0,0,0,2,8,6,221,208,553,319,40,1
1901,0,0,0,0,1,28,10,15,189,422,259,15
1902,0,0,0,0,0,0,2,0,0,0,0,0
1903,0,0,0,0,0,10,314,103,158,146,56,4
1904,8,2,0,0,0,1,277,313,418,170,270,19
1905,0,0,0,0,0,3,330,594,174,210,294,69
1906,0,0,1,0,1,65,735,1036,1275,1430,340,132
1907,15,0,0,0,0,2,0,108,67,17,6,1
1908,1,0,0,0,0,2,8,24,123,68,32,1
1909,0,0,0,0,90,145,554,1214,1155,290,33,1
1910,0,0,0,0,0,1,115,96,626,479,147,11
1911,2,14,27,3,1,277,578,662,125,27,1,0
1912,0,0,0,0,0,0,5,4,205,337,34,48
1913,7,0,0,2,0,4,16,61,57,70,46,4
1914,0,0,0,0,0,0,1,1,0,0,0,0
1915,0,0,0,0,0,0,316,821,436,517,424,36
1916,0,0,0,0,0,0,165,316,695,1799,1318,722
1917,71,1,0,1,12,1346,1037,1747,1903,1702,1254,313
1918,24,1,1,0,284,405,1259,807,956,188,32,1
1919,0,0,0,0,0,1,30,9,41,28,4,0
1920,1,0,0,0,0,1,181,598,1135,441,535,39
1921,1,0,0,0,0,75,44,566,1279,831,301,11
1922,0,0,0,0,0,0,9,36,62,137,55,0
1923,0,0,0,0,0,174,495,1061,255,856,426,109
1924,10,1,3,4,0,23,10,106,636,572,916,254
1925,16,6,1,0,0,1,4,38,232,232,30,1
1926,0,0,0,0,30,119,279,627,507,421,143,7
1927,0,0,0,0,0,0,9,137,101,107,58,1
1928,0,3,2,5,63,385,92,76,21,383,170,5
1929,0,0,0,0,0,19,18,45,44,42,12,3
1930,0,0,0,0,2,0,3,116,56,241,304,232
1931,43,1,2,36,261,979,1454,932,792,402,112,20
1932,0,0,2,63,91,195,661,499,631,214,57,3
1933,0,0,0,0,0,5,174,190,416,318,36,10
1934,13,1,0,0,1,0,32,76,147,346,976,589
1935,21,0,0,10,76,105,385,852,479,260,86,6
1936,0,0,0,0,0,0,182,579,564,91,29,6
1937,2,0,0,0,0,0,0,2,40,60,6,0
1938,0,0,0,0,0,0,3,1,4,1,0,0
1939,0,0,90,256,218,213,740,731,1475,531,329,125
1940,3,0,0,0,0,0,2,3,3,2,0,0
1941,2,0,0,0,0,0,41,11,6,76,7,0
1942,0,0,0,0,96,232,751,556,748,399,127,14
1943,0,0,0,0,1,1,32,101,95,161,48,3
1944,0,0,0,0,9,5,32,4,0,0,0,0
1945,0,0,0,0,0,0,4,118,152,33,30,3
1946,0,0,1,1,0,3,101,588,257,85,52,4
1947,0,0,0,0,0,3,220,472,435,512,432,87
1948,8,0,0,0,3,10,10,27,57,43,214,55
1949,0,0,1,0,0,0,19,15,125,192,526,262
1950,2,0,20,7,0,2,27,46,108,152,137,23
1951,0,1,0,2,25,395,492,860,400,176,176,8
1952,0,0,0,2,34,669,1168,712,759,758,784,580
1953,70,1,0,0,0,28,138,776,596,842,728,105
1954,2,0,0,0,0,2,4,16,195,29,99,407
1955,15,1,0,0,3,93,740,1090,1666,925,415,120
1956,46,42,51,252,1043,1468,1985,1392,1659,688,640,234
1957,8,0,0,0,0,1,29,19,23,99,36,1
1958,0,0,0,0,1,96,111,1014,867,549,415,69
1959,1,0,0,0,0,0,0,12,34,124,16,1
1960,0,0,0,0,223,359,444,925,757,776,245,42
1961,1,0,0,0,0,1,26,67,49,8,1,0
1962,0,0,0,0,0,79,90,205,99,109,49,3
1963,0,0,0,0,13,32,102,256,278,203,53,3
1964,0,0,0,0,1,16,488,1232,625,1081,371,40
1965,1,0,0,0,0,0,2,136,367,76,2,4
1966,0,0,0,0,0,0,4,171,342,391,217,246
