CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,Inun,C14_0,iC15_0,aC15_0,C14_1,C15_0,iC16_0,C15_1,C16_0,C16_1w11t,C16_1w7t,aC17_0,C16_1,C16_1w9c,C18isomer1,C18isomer2,C18isomer3,C18isomer4,C17_0,me10C16_0,C17_1,C18_0,C18_1n9t,C18_1n9c,C19isomer3,C18_2n6c,me10C18_0,C18_3n3
FCNSW_001_2019-03-26_T0_P1,FCNSW_001,FC NSW 1001,26/3/19,0,1,144.425419,-35.73389,80.57,4.41,0.300003,n,0.03,0.14,0.042,0.049,0.017,0.08,0.008,0.182,0.005,0.088,0.03,0.023,0.047,0.02,0.013,0.02,0.003,0.01,0.009,0.014,0.031,0.003,0.066,0.015,0.032,0.023,0.001
FCNSW_002_2019-03-26_T0_P2,FCNSW_002,FC NSW 1002,26/3/19,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,n,0.025,0.143,0.037,0.044,0.015,0.077,0.007,0.183,0.006,0.094,0.031,0.049,0.049,0.016,0.01,0.026,0.003,0.006,0.008,0.009,0.026,0.004,0.078,0.013,0.02,0.02,0.001
FCNSW_003_2019-03-26_T0_P3,FCNSW_003,FC NSW 1003,26/3/19,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,n,0.025,0.127,0.035,0.048,0.013,0.058,0.003,0.162,0.111,0.084,0.026,0.042,0.042,0.015,0.008,0.018,0.003,0.007,0.007,0.01,0.024,0.002,0.062,0.012,0.032,0.023,0.001
FCNSW_004_2019-03-26_T0_P4,FCNSW_004,FC NSW 1004,26/3/19,0,4,144.425377,-35.735393,80.269997,4.10999,0,n,0.023,0.13,0.041,0.023,0.015,0.063,0.005,0.159,0.11,0.1,0.027,0.037,0.037,0.014,0.009,0.02,0.003,0.007,0.006,0.008,0.024,0.019,0.071,0.009,0.013,0.027,0
FCNSW_005_2019-03-26_T1_P1,FCNSW_005,FC NSW 1011,26/3/19,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,n,0.022,0.08,0.024,0.067,0.007,0.043,0.004,0.164,0.114,0.12,0.019,0.068,0.068,0.011,0.005,0.008,0.006,0.004,0.016,0.013,0.019,0.004,0.06,0.017,0.028,0.006,0.002
FCNSW_006_2019-03-26_T1_P2,FCNSW_006,FC NSW 1012,26/3/19,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,n,0.021,0.133,0.035,0.041,0.013,0.066,0.005,0.16,0.112,0.081,0.029,0.041,0.041,0.016,0.01,0.022,0.003,0.006,0.008,0.008,0.024,0.003,0.062,0.015,0.023,0.023,0
FCNSW_007_2019-03-26_T1_P3,FCNSW_007,FC NSW 1013,26/3/19,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,m,0.021,0.139,0.039,0.035,0.012,0.063,0.004,0.159,0.11,0.083,0.027,0.043,0.043,0.017,0.009,0.018,0.003,0.007,0.009,0.011,0.023,0.003,0.062,0.017,0.014,0.028,0
FCNSW_008_2019-03-26_T1_P4,FCNSW_008,FC NSW 1014,26/3/19,1,4,144.417776,-35.745531,79.559998,3.39999,0,y,0.026,0.135,0.04,0.034,0.014,0.059,0.038,0.166,0.112,0.079,0.025,0.041,0.04,0.01,0.01,0.01,0.004,0.007,0.007,0.011,0.023,0.002,0.06,0.011,0.014,0.02,0
FCNSW_009_2019-03-27_T2_P1,FCNSW_009,FC NSW 1021,27/3/19,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,n,0.019,0.109,0.029,0.027,0.011,0.078,0.004,0.166,0.116,0.093,0.034,0.036,0.036,0.014,0.021,0.029,0.003,0.005,0.008,0.009,0.024,0.004,0.062,0.012,0.028,0.024,0
FCNSW_010_2019-03-27_T2_P2,FCNSW_010,FC NSW 1022,27/3/19,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,n,0.02,0.126,0.026,0.076,0.011,0.061,0.003,0.158,0.111,0.079,0.029,0.042,0.042,0.021,0.014,0.021,0.002,0.006,0.005,0.009,0.021,0.005,0.061,0.015,0.014,0.02,0
FCNSW_011_2019-03-27_T2_P3,FCNSW_011,FC NSW 1023,27/3/19,2,3,144.384195,-35.780728,80.694283,4.53428,0.674286,m,0.022,0.141,0.032,0.022,0.011,0.059,0.037,0.16,0.11,0.091,0.026,0.042,0.042,0.011,0.007,0.02,0.004,0.006,0.007,0.009,0.021,0.005,0.064,0.012,0.016,0.024,0
FCNSW_012_2019-03-27_T2_P4,FCNSW_012,FC NSW 1024,27/3/19,2,4,144.384389,-35.780678,80.019997,3.85999,0,y,0.018,0.134,0.029,0.018,0.011,0.069,0.045,0.156,0.11,0.087,0.033,0.037,0.037,0.024,0.016,0.024,0.003,0.005,0.005,0.007,0.022,0.002,0.064,0.009,0.018,0.018,0
FCNSW_013_2019-03-25_T3_P1,FCNSW_013,FC NSW 1031,25/3/19,3,1,144.42359,-35.862426,82.900002,6.74,0,n,0.021,0.13,0.035,0.019,0.013,0.069,0.004,0.159,0.111,0.096,0.029,0.041,0.041,0.022,0.015,0.022,0.003,0.006,0.007,0.007,0.021,0.003,0.066,0.012,0.021,0.025,0
FCNSW_014_2019-03-25_T3_P2,FCNSW_014,FC NSW 1032,25/3/19,3,2,144.424764,-35.862395,82.980003,6.82,0.080002,n,0.02,0.136,0.034,0.018,0.011,0.063,0.005,0.166,0.118,0.088,0.026,0.043,0.043,0.022,0.015,0.022,0.002,0.006,0.008,0.008,0.022,0.009,0.062,0.015,0.015,0.027,0
FCNSW_015_2019-03-25_T3_P3,FCNSW_015,FC NSW 1033,25/3/19,3,3,144.42555,-35.86226,83.300003,7.14,0.400002,n,0.02,0.13,0.032,0.026,0.012,0.075,0.006,0.152,0.109,0.115,0.025,0.037,0.037,0.024,0.016,0.024,0.002,0.006,0.009,0.009,0.02,0.011,0.055,0.006,0.016,0.025,0
FCNSW_016_2019-03-25_T3_P4,FCNSW_016,FC NSW 1034,25/3/19,3,4,144.42597,-35.862151,83.5,7.34,0.599998,n,0.018,0.128,0.046,0.027,0.011,0.061,0.039,0.161,0.114,0.082,0.025,0.042,0.042,0.012,0.008,0.004,0.006,0.006,0.008,0.007,0.026,0.003,0.065,0.016,0.014,0.03,0
FCNSW_017_2019-03-27_T4_P1,FCNSW_017,FC NSW 1041,27/3/19,4,1,144.34441,-35.74825,80.510002,4.35,1.200005,n,0.021,0.098,0.027,0.041,0.011,0.078,0.005,0.173,0.124,0.073,0.03,0.031,0.031,0.028,0.019,0.028,0.001,0.005,0.007,0.01,0.027,0.005,0.064,0.014,0.03,0.019,0.001
FCNSW_018_2019-03-27_T4_P2,FCNSW_018,FC NSW 1042,27/3/19,4,2,144.34441,-35.74903,79.57,3.41,0.260002,n,0.018,0.13,0.028,0.079,0.013,0.065,0.003,0.141,0.101,0.105,0.024,0.036,0.036,0.022,0.015,0.022,0.003,0.006,0.007,0.006,0.02,0.002,0.059,0.01,0.02,0.03,0
FCNSW_019_2019-03-27_T4_P3,FCNSW_019,FC NSW 1043,27/3/19,4,3,144.34407,-35.74957,79.440002,3.28,0.130005,n,0.024,0.134,0.031,0.088,0.015,0.056,0.003,0.151,0.107,0.089,0.024,0.042,0.041,0.012,0.007,0.02,0.005,0.007,0.007,0.006,0.021,0.002,0.058,0.011,0.014,0.025,0
FCNSW_020_2019-03-27_T4_P4,FCNSW_020,FC NSW 1044,27/3/19,4,4,144.34419,-35.75001,79.309998,3.14999,0,n,0.02,0.122,0.027,0.078,0.013,0.057,0.038,0.165,0.117,0.076,0.023,0.038,0.038,0.018,0.012,0.018,0.002,0.006,0.006,0.007,0.021,0.002,0.058,0.006,0.013,0.019,0.001
FCNSW_021_2019-03-27_T5_P1,FCNSW_021,FC NSW 1051,27/3/19,5,1,144.29449,-35.72734,80.019997,3.85999,1.099998,n,0.008,0.111,0.031,0.045,0.009,0.054,0.001,0.172,0.127,0.066,0.033,0.044,0.044,0.023,0.014,0.023,0.002,0.003,0.005,0.006,0.025,0.001,0.078,0.012,0.044,0.013,0.004
FCNSW_022_2019-03-27_T5_P2,FCNSW_022,FC NSW 1052,27/3/19,5,2,144.29568,-35.72802,79.650002,3.49,0.730003,n,0.02,0.138,0.029,0.08,0.013,0.06,0.003,0.137,0.097,0.1,0.024,0.045,0.045,0.018,0.012,0.018,0.004,0.007,0.009,0.009,0.02,0.003,0.053,0.014,0.014,0.026,0
FCNSW_023_2019-03-27_T5_P3,FCNSW_023,FC NSW 1053,27/3/19,5,3,144.29662,-35.72855,79.43,3.27,0.510002,n,0.025,0.142,0.032,0.018,0.014,0.075,0.004,0.177,0.006,0.1,0.032,0.051,0.051,0.025,0.017,0.025,0.004,0.007,0.008,0.013,0.026,0.004,0.076,0.018,0.024,0.024,0
FCNSW_024_2019-03-27_T5_P4,FCNSW_024,FC NSW 1054,27/3/19,5,4,144.29732,-35.72876,78.919998,2.75999,0,n,0.022,0.124,0.031,0.086,0.013,0.06,0.004,0.153,0.108,0.075,0.023,0.037,0.037,0.017,0.012,0.017,0.002,0.006,0.007,0.01,0.023,0.018,0.065,0.01,0.018,0.021,0.001
FCNSW_025_2019-03-28_T6_P1,FCNSW_025,FC NSW 1061,28/3/19,6,1,144.274284,-35.696733,79.400002,3.24,1.459999,n,0.011,0.12,0.037,0.052,0.009,0.073,0.003,0.15,0.111,0.085,0.038,0.036,0.037,0.033,0.023,0.033,0.003,0.004,0.006,0.007,0.02,0.007,0.052,0.009,0.017,0.023,0
FCNSW_026_2019-03-28_T6_P2,FCNSW_026,FC NSW 1062,28/3/19,6,2,144.274252,-35.6966,78.470001,2.31,0.529999,m,0.017,0.132,0.032,0.021,0.011,0.06,0.041,0.156,0.115,0.079,0.027,0.043,0.043,0.024,0.015,0.024,0.005,0.007,0.002,0.009,0.021,0.003,0.058,0.012,0.023,0.023,0
FCNSW_027_2019-03-28_T6_P3,FCNSW_027,FC NSW 1063,28/3/19,6,3,144.274289,-35.696551,78.050003,1.89,0.110001,y,0.026,0.144,0.036,0.02,0.013,0.058,0.039,0.16,0.115,0.08,0.026,0.043,0.043,0.021,0.014,0.021,0.003,0.007,0.008,0.008,0.02,0.003,0.054,0.01,0.009,0.018,0
FCNSW_028_2019-03-28_T6_P4,FCNSW_028,FC NSW 1064,28/3/19,6,4,144.274307,-35.696518,77.940002,1.78,0,y,0.027,0.126,0.033,0.094,0.014,0.047,0.033,0.155,0.114,0.067,0.021,0.045,0.045,0.016,0.008,0.016,0,0.007,0.007,0.009,0.019,0.016,0.046,0.01,0.01,0.015,0.001
FCNSW_029_2019-03-28_T7_P1,FCNSW_029,FC NSW 1071,28/3/19,7,1,144.239511,-35.678113,78.860001,2.7,1.18,n,0.019,0.109,0.038,0.034,0.011,0.064,0.004,0.181,0.13,0.081,0.023,0.048,0.048,0.007,0.004,0.004,0.008,0.006,0.009,0.009,0.027,0.002,0.066,0.019,0.026,0.021,0.001
FCNSW_030_2019-03-28_T7_P2,FCNSW_030,FC NSW 1072,28/3/19,7,2,144.238774,-35.677261,78.330002,2.17,0.650002,n,0.016,0.13,0.027,0.077,0.012,0.061,0.003,0.145,0.106,0.08,0.023,0.039,0.039,0.021,0.014,0.021,0.003,0.006,0.006,0.007,0.019,0.015,0.068,0.01,0.026,0.025,0.001
FCNSW_031_2019-03-28_T7_P3,FCNSW_031,FC NSW 1073,28/3/19,7,3,144.238588,-35.676544,78.209999,2.05,0.529999,n,0.019,0.133,0.03,0.085,0.012,0.062,0.004,0.14,0.102,0.087,0.024,0.038,0.039,0.02,0.013,0.02,0.003,0.007,0.006,0.008,0.02,0.016,0.064,0.008,0.014,0.027,0
FCNSW_032_2019-03-28_T7_P4,FCNSW_032,FC NSW 1074,28/3/19,7,4,144.237507,-35.675924,77.68,1.52,0,n,0.023,0.131,0.033,0.02,0.015,0.066,0.006,0.167,0.122,0.087,0.024,0.043,0.043,0.012,0.012,0.012,0.003,0.008,0.009,0.01,0.024,0.022,0.058,0.012,0.013,0.026,0
FCNSW_033_2019-03-28_T8_P1,FCNSW_033,FC NSW 1081,28/3/19,8,1,144.232062,-35.59318,77.18,1.02,1.019997,n,0.024,0.117,0.042,0.038,0.012,0.076,0.004,0.187,0.005,0.103,0.028,0.056,0.055,0.01,0.006,0.005,0.01,0.006,0.011,0.014,0.028,0.004,0.074,0.022,0.047,0.018,0
FCNSW_034_2019-03-28_T8_P2,FCNSW_034,FC NSW 1082,28/3/19,8,2,144.231292,-35.593209,76.559998,0.39999,0.399994,n,0.024,0.134,0.038,0.026,0.014,0.061,0.005,0.161,0.118,0.084,0.026,0.044,0.044,0.017,0.011,0.017,0.004,0.007,0.008,0.012,0.023,0.002,0.064,0.015,0.013,0.028,0
FCNSW_035_2019-03-28_T8_P3,FCNSW_035,FC NSW 1083,28/3/19,8,3,144.230001,-35.592745,76.260002,0.1,0.099998,n,0.023,0.13,0.03,0.084,0.014,0.06,0.004,0.152,0.11,0.08,0.021,0.041,0.041,0.017,0.011,0.017,0.002,0.007,0.007,0.008,0.02,0.019,0.054,0.011,0.014,0.022,0
FCNSW_036_2019-03-28_T8_P4,FCNSW_036,FC NSW 1084,28/3/19,8,4,144.229216,-35.592304,76.160004,0,0,n,0.024,0.142,0.035,0.02,0.015,0.058,0.004,0.155,0.114,0.085,0.023,0.048,0.048,0.018,0.011,0.018,0.004,0.008,0.008,0.009,0.021,0.017,0.06,0.013,0.017,0.026,0
FCNSW_037_2019-03-26_T9_P1,FCNSW_037,FC NSW 1091,26/3/19,9,1,144.423864,-35.825089,82.18,6.02,1.050003,n,0.017,0.135,0.03,0.084,0.012,0.054,0.003,0.144,0.105,0.088,0.022,0.042,0.042,0.016,0.011,0.016,0.005,0.006,0.007,0.007,0.022,0.003,0.065,0.012,0.023,0.03,0
